abilities sim: 116,287,920 round-sims in 40.6s

== calm ==
  arm       lev  liq | fire%  | liq% base→arm  | houseEV% base→arm | Δhouse% ±95CI
skullR400 1000  0.20 |  22.13 |  22.13→  20.44 |   7.57→   7.01 | -0.562±0.261
skullR400 1500  0.20 |  39.47 |  39.47→  36.30 |   9.55→   8.37 | -1.181±0.447
skullR400 2000  0.20 |  51.30 |  51.30→  48.00 |  10.04→   8.79 | -1.251±0.480
skullR400 3000  0.20 |  63.19 |  63.19→  60.38 |   6.77→   5.67 | -1.095±0.421
skullR50    50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR50   200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR50   500  0.10 |   1.76 |   1.76→   1.61 |   5.00→   4.98 | -0.018±0.020
skullR50  1000  0.10 |  16.44 |  16.44→  14.97 |   5.04→   4.87 | -0.172±0.076
skullR50  1500  0.10 |  29.56 |  29.56→  27.12 |   2.65→   2.35 | -0.301±0.125
skullR50  2000  0.10 |  39.47 |  39.47→  36.35 |  -1.44→  -1.82 | -0.387±0.143
skullR50  3000  0.10 |  51.30 |  51.30→  48.09 | -11.81→ -12.21 | -0.403±0.158
skullR50    50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR50   200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR50   500  0.20 |   2.86 |   2.86→   2.54 |   5.26→   5.19 | -0.065±0.043
skullR50  1000  0.20 |  22.13 |  22.13→  20.55 |   7.57→   7.24 | -0.334±0.119
skullR50  1500  0.20 |  39.47 |  39.47→  36.35 |   9.55→   8.86 | -0.683±0.245
skullR50  2000  0.20 |  51.30 |  51.30→  48.09 |  10.04→   9.33 | -0.708±0.270
skullR50  3000  0.20 |  63.19 |  63.19→  60.48 |   6.77→   6.17 | -0.598±0.231
skullRebuy   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRebuy  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRebuy  500  0.10 |   1.76 |   1.76→   0.00 |   5.00→   5.03 |  0.037±0.094
skullRebuy 1000  0.10 |  16.44 |  16.44→   0.88 |   5.04→   4.97 | -0.074±0.924
skullRebuy 1500  0.10 |  29.56 |  29.56→   4.75 |   2.65→   2.23 | -0.421±1.508
skullRebuy 2000  0.10 |  39.47 |  39.47→   9.71 |  -1.44→  -2.32 | -0.885±2.007
skullRebuy 3000  0.10 |  51.30 |  51.30→  18.83 | -11.81→ -16.06 | -4.253±3.023
skullRebuy   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRebuy  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRebuy  500  0.20 |   2.86 |   2.86→   0.00 |   5.26→   5.36 |  0.106±0.157
skullRebuy 1000  0.20 |  22.13 |  22.13→   1.82 |   7.57→   7.74 |  0.170±1.006
skullRebuy 1500  0.20 |  39.47 |  39.47→   9.71 |   9.55→  10.28 |  0.733±1.668
skullRebuy 2000  0.20 |  51.30 |  51.30→  18.83 |  10.04→  10.61 |  0.571±2.263
skullRebuy 3000  0.20 |  63.19 |  63.19→  34.29 |   6.77→   8.12 |  1.356±2.347
skullRevive   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRevive  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRevive  500  0.10 |   1.76 |   1.76→   1.61 |   5.00→   4.98 | -0.016±0.016
skullRevive 1000  0.10 |  16.44 |  16.44→  14.97 |   5.04→   4.90 | -0.146±0.059
skullRevive 1500  0.10 |  29.56 |  29.56→  27.12 |   2.65→   2.41 | -0.246±0.096
skullRevive 2000  0.10 |  39.47 |  39.47→  36.35 |  -1.44→  -1.75 | -0.315±0.110
skullRevive 3000  0.10 |  51.30 |  51.30→  48.09 | -11.81→ -12.13 | -0.324±0.122
skullRevive   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRevive  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRevive  500  0.20 |   2.86 |   2.86→   2.54 |   5.26→   5.20 | -0.062±0.040
skullRevive 1000  0.20 |  22.13 |  22.13→  20.55 |   7.57→   7.26 | -0.307±0.105
skullRevive 1500  0.20 |  39.47 |  39.47→  36.35 |   9.55→   8.94 | -0.611±0.213
skullRevive 2000  0.20 |  51.30 |  51.30→  48.09 |  10.04→   9.41 | -0.629±0.236
skullRevive 3000  0.20 |  63.19 |  63.19→  60.48 |   6.77→   6.24 | -0.532±0.206
skullRide   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRide  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRide  500  0.10 |   1.76 |   1.76→   1.61 |   5.00→   4.94 | -0.058±0.071
skullRide 1000  0.10 |  16.44 |  16.44→  14.65 |   5.04→   4.25 | -0.787±0.442
skullRide 1500  0.10 |  29.56 |  29.56→  25.58 |   2.65→   0.42 | -2.236±0.920
skullRide 2000  0.10 |  39.47 |  39.47→  34.92 |  -1.44→  -4.91 | -3.473±1.303
skullRide 3000  0.10 |  51.30 |  51.30→  39.91 | -11.81→ -18.94 | -7.133±2.003
skullRide   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRide  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRide  500  0.20 |   2.86 |   2.86→   2.54 |   5.26→   5.14 | -0.114±0.096
skullRide 1000  0.20 |  22.13 |  22.13→  20.09 |   7.57→   6.51 | -1.062±0.481
skullRide 1500  0.20 |  39.47 |  39.47→  34.92 |   9.55→   6.40 | -3.145±1.116
skullRide 2000  0.20 |  51.30 |  51.30→  46.56 |  10.04→   5.94 | -4.097±1.554
skullRide 3000  0.20 |  63.19 |  63.19→  51.11 |   6.77→  -1.20 | -7.967±1.747
skullRide2   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRide2  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRide2  500  0.10 |   1.76 |   1.76→   1.61 |   5.00→   4.94 | -0.054±0.068
skullRide2 1000  0.10 |  16.44 |  16.44→  14.65 |   5.04→   4.39 | -0.652±0.345
skullRide2 1500  0.10 |  29.56 |  29.56→  25.58 |   2.65→   0.97 | -1.687±0.620
skullRide2 2000  0.10 |  39.47 |  39.47→  34.92 |  -1.44→  -3.43 | -1.990±0.594
skullRide2 3000  0.10 |  51.30 |  51.30→  39.91 | -11.81→ -17.08 | -5.275±1.069
skullRide2   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRide2  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRide2  500  0.20 |   2.86 |   2.86→   2.54 |   5.26→   5.15 | -0.109±0.089
skullRide2 1000  0.20 |  22.13 |  22.13→  20.09 |   7.57→   6.76 | -0.812±0.361
skullRide2 1500  0.20 |  39.47 |  39.47→  34.92 |   9.55→   7.51 | -2.033±0.596
skullRide2 2000  0.20 |  51.30 |  51.30→  46.56 |  10.04→   7.90 | -2.143±0.688
skullRide2 3000  0.20 |  63.19 |  63.19→  51.11 |   6.77→   1.11 | -5.653±1.182
swerve      50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
swerve     200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
swerve     500  0.10 |   2.29 |   1.76→   1.62 |   5.00→   4.87 | -0.122±0.377
swerve    1000  0.10 |  15.64 |  16.44→  17.83 |   5.04→   5.40 |  0.357±1.256
swerve    1500  0.10 |  28.57 |  29.56→  31.95 |   2.65→   3.96 |  1.305±2.249
swerve    2000  0.10 |  37.46 |  39.47→  42.33 |  -1.44→   1.02 |  2.454±2.886
swerve    3000  0.10 |  47.68 |  51.30→  52.54 | -11.81→  -9.79 |  2.015±5.218
swerve      50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
swerve     200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
swerve     500  0.20 |   2.55 |   2.86→   3.05 |   5.26→   5.26 |  0.001±0.392
swerve    1000  0.20 |   0.00 |  22.13→  22.13 |   7.57→   7.57 |  0.000±0.000
swerve    1500  0.20 |   0.00 |  39.47→  39.47 |   9.55→   9.55 |  0.000±0.000
swerve    2000  0.20 |   0.00 |  51.30→  51.30 |  10.04→  10.04 |  0.000±0.000
swerve    3000  0.20 |   0.00 |  63.19→  63.19 |   6.77→   6.77 |  0.000±0.000

== fresh ==
  arm       lev  liq | fire%  | liq% base→arm  | houseEV% base→arm | Δhouse% ±95CI
airbag      50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
airbag     200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
airbag     500  0.10 |   1.64 |   1.64→   1.64 |   5.23→   5.17 | -0.053±0.035
airbag    1000  0.10 |  11.27 |  11.27→  11.27 |   4.78→   4.64 | -0.137±0.034
airbag    1500  0.10 |  28.62 |  28.62→  28.62 |   5.02→   3.36 | -1.665±0.207
airbag    2000  0.10 |  37.93 |  37.93→  37.93 |   1.65→   1.15 | -0.491±0.054
airbag    3000  0.10 |  49.52 |  49.52→  49.52 |  -5.65→  -5.65 |  0.000±0.000
airbag      50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
airbag     200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
airbag     500  0.20 |   2.10 |   2.10→   2.10 |   5.34→   5.17 | -0.161±0.100
airbag    1000  0.20 |  15.75 |  15.75→  15.75 |   6.54→   5.01 | -1.532±0.303
airbag    1500  0.20 |  28.62 |  28.62→  28.62 |   5.02→   3.36 | -1.665±0.207
airbag    2000  0.20 |  37.93 |  37.93→  37.93 |   1.65→   1.15 | -0.491±0.054
airbag    3000  0.20 |  49.52 |  49.52→  49.52 |  -5.65→  -5.65 |  0.000±0.000
flipper     50  0.10 |  95.46 |   0.00→   0.00 |   5.00→   5.00 |  0.002±0.048
flipper    200  0.10 |  95.46 |   0.00→   0.01 |   5.00→   5.01 |  0.008±0.193
flipper    500  0.10 |  95.18 |   1.64→   1.59 |   5.23→   5.14 | -0.091±0.520
flipper   1000  0.10 |  93.30 |  11.27→  11.76 |   4.78→   4.84 |  0.066±1.226
flipper   1500  0.10 |  88.50 |  28.62→  28.66 |   5.02→   5.39 |  0.365±2.288
flipper   2000  0.10 |  84.60 |  37.93→  38.55 |   1.65→   3.08 |  1.438±3.251
flipper   3000  0.10 |  77.05 |  49.52→  50.83 |  -5.65→  -3.89 |  1.757±5.027
flipper     50  0.20 |  95.46 |   0.00→   0.00 |   5.00→   5.00 |  0.002±0.048
flipper    200  0.20 |  95.46 |   0.00→   0.01 |   5.00→   5.01 |  0.009±0.194
flipper    500  0.20 |  95.11 |   2.10→   2.10 |   5.34→   5.30 | -0.035±0.529
flipper   1000  0.20 |  92.35 |  15.75→  15.74 |   6.54→   6.44 | -0.100±1.334
flipper   1500  0.20 |  88.50 |  28.62→  28.66 |   5.02→   5.39 |  0.365±2.288
flipper   2000  0.20 |  84.60 |  37.93→  38.55 |   1.65→   3.08 |  1.438±3.251
flipper   3000  0.20 |  77.05 |  49.52→  50.83 |  -5.65→  -3.89 |  1.757±5.027
flux15      50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
flux15     200  0.10 |   0.26 |   0.00→   0.00 |   5.00→   4.99 | -0.008±0.015
flux15     500  0.10 |   8.19 |   1.64→   1.64 |   5.23→   4.97 | -0.253±0.208
flux15    1000  0.10 |  28.48 |  11.27→  10.93 |   4.78→   4.71 | -0.069±0.952
flux15    1500  0.10 |  48.14 |  28.62→  27.78 |   5.02→   4.84 | -0.184±1.972
flux15    2000  0.10 |  46.96 |  37.93→  37.05 |   1.65→   1.72 |  0.075±2.469
flux15    3000  0.10 |  55.87 |  49.52→  47.14 |  -5.65→  -4.99 |  0.662±4.701
flux15      50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
flux15     200  0.20 |   0.26 |   0.00→   0.00 |   5.00→   4.99 | -0.008±0.015
flux15     500  0.20 |   8.19 |   2.10→   2.10 |   5.34→   5.08 | -0.253±0.208
flux15    1000  0.20 |  28.42 |  15.75→  15.40 |   6.54→   6.46 | -0.077±0.959
flux15    1500  0.20 |  48.14 |  28.62→  27.78 |   5.02→   4.84 | -0.184±1.972
flux15    2000  0.20 |  46.96 |  37.93→  37.05 |   1.65→   1.72 |  0.075±2.469
flux15    3000  0.20 |  55.87 |  49.52→  47.14 |  -5.65→  -4.99 |  0.662±4.701
flux20      50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
flux20     200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
flux20     500  0.10 |   1.19 |   1.64→   1.64 |   5.23→   5.08 | -0.151±0.168
flux20    1000  0.10 |   8.07 |  11.27→  11.20 |   4.78→   4.27 | -0.504±0.413
flux20    1500  0.10 |  21.38 |  28.62→  28.28 |   5.02→   4.01 | -1.007±1.239
flux20    2000  0.10 |  27.31 |  37.93→  37.85 |   1.65→   2.07 |  0.422±1.800
flux20    3000  0.10 |  43.89 |  49.52→  48.65 |  -5.65→  -5.59 |  0.062±3.790
flux20      50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
flux20     200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
flux20     500  0.20 |   1.19 |   2.10→   2.10 |   5.34→   5.18 | -0.151±0.168
flux20    1000  0.20 |   8.05 |  15.75→  15.68 |   6.54→   6.04 | -0.502±0.411
flux20    1500  0.20 |  21.38 |  28.62→  28.28 |   5.02→   4.01 | -1.007±1.239
flux20    2000  0.20 |  27.31 |  37.93→  37.85 |   1.65→   2.07 |  0.422±1.800
flux20    3000  0.20 |  43.89 |  49.52→  48.65 |  -5.65→  -5.59 |  0.062±3.790
heavy       50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
heavy      200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 | -0.000±0.000
heavy      500  0.10 |   0.00 |   1.64→   3.45 |   5.23→   5.44 |  0.212±0.246
heavy     1000  0.10 |   0.00 |  11.27→  19.55 |   4.78→   4.34 | -0.439±1.358
heavy     1500  0.10 |   0.00 |  28.62→  38.82 |   5.02→   2.67 | -2.350±2.571
heavy     2000  0.10 |   0.00 |  37.93→  47.00 |   1.65→  -3.10 | -4.742±3.510
heavy     3000  0.10 |   0.00 |  49.52→  57.14 |  -5.65→ -14.22 | -8.570±5.003
heavy       50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
heavy      200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 | -0.000±0.000
heavy      500  0.20 |   0.00 |   2.10→   4.39 |   5.34→   5.67 |  0.338±0.271
heavy     1000  0.20 |   0.00 |  15.75→  25.31 |   6.54→   6.80 |  0.256±1.505
heavy     1500  0.20 |   0.00 |  28.62→  38.82 |   5.02→   2.67 | -2.350±2.571
heavy     2000  0.20 |   0.00 |  37.93→  47.00 |   1.65→  -3.10 | -4.742±3.510
heavy     3000  0.20 |   0.00 |  49.52→  57.14 |  -5.65→ -14.22 | -8.570±5.003
nitro       50  0.10 | 100.00 |   0.00→   0.00 |   5.00→   5.00 | -0.000±0.000
nitro      200  0.10 | 100.00 |   0.00→   0.06 |   5.00→   5.02 |  0.018±0.033
nitro      500  0.10 | 100.00 |   1.64→   4.84 |   5.23→   5.08 | -0.142±0.409
nitro     1000  0.10 |  99.97 |  11.27→  23.32 |   4.78→   3.42 | -1.358±1.224
nitro     1500  0.10 |  99.94 |  28.62→  42.09 |   5.02→   2.60 | -2.417±1.572
nitro     2000  0.10 |  99.84 |  37.93→  42.46 |   1.65→  -1.73 | -3.371±1.148
nitro     3000  0.10 |   0.00 |  49.52→  49.52 |  -5.65→  -5.65 |  0.000±0.000
nitro       50  0.20 | 100.00 |   0.00→   0.00 |   5.00→   5.00 | -0.000±0.000
nitro      200  0.20 | 100.00 |   0.00→   0.18 |   5.00→   5.05 |  0.055±0.075
nitro      500  0.20 | 100.00 |   2.10→   6.37 |   5.34→   5.63 |  0.295±0.503
nitro     1000  0.20 |  99.96 |  15.75→  28.85 |   6.54→   6.45 | -0.087±1.358
nitro     1500  0.20 |  99.94 |  28.62→  42.09 |   5.02→   2.60 | -2.417±1.572
nitro     2000  0.20 |  99.84 |  37.93→  47.00 |   1.65→   2.86 |  1.218±1.549
nitro     3000  0.20 |   0.00 |  49.52→  49.52 |  -5.65→  -5.65 |  0.000±0.000
pinkBoth    50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
pinkBoth   200  0.10 |   0.26 |   0.00→   0.00 |   5.00→   5.03 |  0.035±0.065
pinkBoth   500  0.10 |   8.86 |   1.64→   0.52 |   5.23→   5.00 | -0.229±0.544
pinkBoth  1000  0.10 |  35.46 |  11.27→   0.94 |   4.78→   4.29 | -0.493±1.390
pinkBoth  1500  0.10 |  65.61 |  28.62→   2.67 |   5.02→   3.24 | -1.779±2.872
pinkBoth  2000  0.10 |  65.03 |  37.93→   8.61 |   1.65→   3.07 |  1.420±3.699
pinkBoth  3000  0.10 |  84.26 |  49.52→   9.76 |  -5.65→   1.77 |  7.417±6.329
pinkBoth    50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
pinkBoth   200  0.20 |   0.26 |   0.00→   0.00 |   5.00→   5.03 |  0.035±0.065
pinkBoth   500  0.20 |   8.79 |   2.10→   0.58 |   5.34→   5.01 | -0.330±0.571
pinkBoth  1000  0.20 |  33.93 |  15.75→   2.46 |   6.54→   4.49 | -2.054±1.466
pinkBoth  1500  0.20 |  65.61 |  28.62→   2.67 |   5.02→   3.24 | -1.779±2.872
pinkBoth  2000  0.20 |  65.03 |  37.93→   8.61 |   1.65→   3.07 |  1.420±3.699
pinkBoth  3000  0.20 |  84.26 |  49.52→   9.76 |  -5.65→   1.77 |  7.417±6.329
pinkSL      50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
pinkSL     200  0.10 |   0.26 |   0.00→   0.00 |   5.00→   5.03 |  0.035±0.065
pinkSL     500  0.10 |   7.67 |   1.64→   0.52 |   5.23→   5.25 |  0.025±0.370
pinkSL    1000  0.10 |  27.69 |  11.27→   0.94 |   4.78→   4.74 | -0.035±1.082
pinkSL    1500  0.10 |  46.75 |  28.62→   2.77 |   5.02→   4.42 | -0.605±1.815
pinkSL    2000  0.10 |  40.55 |  37.93→   8.97 |   1.65→   3.45 |  1.801±1.874
pinkSL    3000  0.10 |  51.41 |  49.52→  11.54 |  -5.65→   0.80 |  6.456±2.250
pinkSL      50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
pinkSL     200  0.20 |   0.26 |   0.00→   0.00 |   5.00→   5.03 |  0.035±0.065
pinkSL     500  0.20 |   7.60 |   2.10→   0.58 |   5.34→   5.26 | -0.075±0.403
pinkSL    1000  0.20 |  26.16 |  15.75→   2.46 |   6.54→   4.95 | -1.596±1.156
pinkSL    1500  0.20 |  46.75 |  28.62→   2.77 |   5.02→   4.42 | -0.605±1.815
pinkSL    2000  0.20 |  40.55 |  37.93→   8.97 |   1.65→   3.45 |  1.801±1.874
pinkSL    3000  0.20 |  51.41 |  49.52→  11.54 |  -5.65→   0.80 |  6.456±2.250
pinkTP      50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
pinkTP     200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
pinkTP     500  0.10 |   1.19 |   1.64→   1.64 |   5.23→   4.97 | -0.255±0.286
pinkTP    1000  0.10 |   8.07 |  11.27→  11.20 |   4.78→   4.27 | -0.509±0.783
pinkTP    1500  0.10 |  21.38 |  28.62→  28.20 |   5.02→   4.11 | -0.912±2.394
pinkTP    2000  0.10 |  27.31 |  37.93→  36.93 |   1.65→   1.80 |  0.152±3.395
pinkTP    3000  0.10 |  43.89 |  49.52→  43.89 |  -5.65→  -3.87 |  1.783±6.359
pinkTP      50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
pinkTP     200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
pinkTP     500  0.20 |   1.19 |   2.10→   2.10 |   5.34→   5.08 | -0.255±0.286
pinkTP    1000  0.20 |   8.05 |  15.75→  15.68 |   6.54→   6.04 | -0.506±0.782
pinkTP    1500  0.20 |  21.38 |  28.62→  28.20 |   5.02→   4.11 | -0.912±2.394
pinkTP    2000  0.20 |  27.31 |  37.93→  36.93 |   1.65→   1.80 |  0.152±3.395
pinkTP    3000  0.20 |  43.89 |  49.52→  43.89 |  -5.65→  -3.87 |  1.783±6.359
skull       50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull      200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull      500  0.10 |   1.51 |   1.64→   1.26 |   5.23→   5.15 | -0.079±0.074
skull     1000  0.10 |  10.83 |  11.27→   8.81 |   4.78→   3.95 | -0.825±0.483
skull     1500  0.10 |  27.86 |  28.62→  24.57 |   5.02→   2.81 | -2.214±0.762
skull     2000  0.10 |  37.09 |  37.93→  32.93 |   1.65→  -1.91 | -3.552±0.954
skull     3000  0.10 |  48.91 |  49.52→  42.82 |  -5.65→ -14.45 | -8.797±2.745
skull       50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull      200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull      500  0.20 |   2.00 |   2.10→   1.65 |   5.34→   5.23 | -0.103±0.075
skull     1000  0.20 |  15.20 |  15.75→  12.47 |   6.54→   5.12 | -1.418±0.545
skull     1500  0.20 |  27.86 |  28.62→  24.57 |   5.02→   2.81 | -2.214±0.762
skull     2000  0.20 |  37.09 |  37.93→  32.93 |   1.65→  -1.91 | -3.552±0.954
skull     3000  0.20 |  48.91 |  49.52→  42.82 |  -5.65→ -14.45 | -8.797±2.745
skull1      50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull1     200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull1     500  0.10 |   1.51 |   1.64→   1.32 |   5.23→   5.16 | -0.062±0.050
skull1    1000  0.10 |  10.83 |  11.27→   9.45 |   4.78→   4.21 | -0.568±0.331
skull1    1500  0.10 |  27.86 |  28.62→  25.32 |   5.02→   3.06 | -1.966±0.738
skull1    2000  0.10 |  37.09 |  37.93→  33.89 |   1.65→  -1.46 | -3.104±0.938
skull1    3000  0.10 |  48.91 |  49.52→  44.39 |  -5.65→ -13.07 | -7.421±2.644
skull1      50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull1     200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull1     500  0.20 |   2.00 |   2.10→   1.83 |   5.34→   5.28 | -0.055±0.052
skull1    1000  0.20 |  15.20 |  15.75→  13.34 |   6.54→   5.51 | -1.028±0.437
skull1    1500  0.20 |  27.86 |  28.62→  25.32 |   5.02→   3.06 | -1.966±0.738
skull1    2000  0.20 |  37.09 |  37.93→  33.89 |   1.65→  -1.46 | -3.104±0.938
skull1    3000  0.20 |  48.91 |  49.52→  44.39 |  -5.65→ -13.07 | -7.421±2.644
skull1s     50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull1s    200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull1s    500  0.10 |   1.56 |   1.64→   1.41 |   5.23→   5.18 | -0.048±0.042
skull1s   1000  0.10 |  11.02 |  11.27→   9.77 |   4.78→   4.25 | -0.529±0.328
skull1s   1500  0.10 |  28.20 |  28.62→  26.60 |   5.02→   3.82 | -1.203±0.510
skull1s   2000  0.10 |  37.47 |  37.93→  35.54 |   1.65→  -0.05 | -1.699±0.596
skull1s   3000  0.10 |  49.19 |  49.52→  46.25 |  -5.65→ -10.22 | -4.572±2.343
skull1s     50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull1s    200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull1s    500  0.20 |   2.04 |   2.10→   1.90 |   5.34→   5.29 | -0.046±0.046
skull1s   1000  0.20 |  15.45 |  15.75→  13.98 |   6.54→   5.74 | -0.801±0.393
skull1s   1500  0.20 |  28.20 |  28.62→  26.60 |   5.02→   3.82 | -1.203±0.510
skull1s   2000  0.20 |  37.47 |  37.93→  35.54 |   1.65→  -0.05 | -1.699±0.596
skull1s   3000  0.20 |  49.19 |  49.52→  46.25 |  -5.65→ -10.22 | -4.572±2.343
skullCashCap   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashCap  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashCap  500  0.10 |   1.61 |   1.64→   0.00 |   5.23→   5.10 | -0.132±0.099
skullCashCap 1000  0.10 |  11.24 |  11.27→   0.00 |   4.78→   4.08 | -0.704±0.281
skullCashCap 1500  0.10 |  28.56 |  28.62→   0.00 |   5.02→   2.00 | -3.022±0.554
skullCashCap 2000  0.10 |  37.82 |  37.93→   0.00 |   1.65→  -1.70 | -3.341±0.555
skullCashCap 3000  0.10 |  49.47 |  49.52→   0.00 |  -5.65→ -10.26 | -4.613±0.625
skullCashCap   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashCap  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashCap  500  0.20 |   2.10 |   2.10→   0.00 |   5.34→   5.07 | -0.262±0.167
skullCashCap 1000  0.20 |  15.66 |  15.75→   0.00 |   6.54→   4.34 | -2.198±0.514
skullCashCap 1500  0.20 |  28.56 |  28.62→   0.00 |   5.02→   2.00 | -3.022±0.554
skullCashCap 2000  0.20 |  37.82 |  37.93→   0.00 |   1.65→  -1.70 | -3.341±0.555
skullCashCap 3000  0.20 |  49.47 |  49.52→   0.00 |  -5.65→ -10.26 | -4.613±0.625
skullCashV1   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashV1  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashV1  500  0.10 |   1.61 |   1.64→   0.00 |   5.23→   5.10 | -0.132±0.099
skullCashV1 1000  0.10 |  11.24 |  11.27→   0.00 |   4.78→   4.07 | -0.704±0.281
skullCashV1 1500  0.10 |  28.56 |  28.62→   0.00 |   5.02→   1.86 | -3.161±0.608
skullCashV1 2000  0.10 |  37.82 |  37.93→   0.00 |   1.65→  -2.02 | -3.661±0.668
skullCashV1 3000  0.10 |  49.47 |  49.52→   0.00 |  -5.65→ -11.16 | -5.508±0.855
